,Link,Preco,Localizacao,Area_Util_m2,Quartos,Suites,Vagas_Garagem
421,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-215-bloco-c-1163144,1945000.0,BRASÍLIA - ASA SUL,132,3.0,1.0,1.0
422,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-313-1161662,1230000.0,BRASÍLIA - ASA NORTE,103,3.0,1.0,1.0
423,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-106-bloco-j-1157119,1780000.0,BRASÍLIA - NOROESTE,110,3.0,1.0,2.0
424,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-311-1160589,1350000.0,BRASÍLIA - ASA NORTE,96,3.0,1.0,1.0
425,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-2-1157841,500000.0,BRASÍLIA - ASA NORTE,32,1.0,,1.0
426,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-lago-norte-brasilia-df-ca-01-1144682,900000.0,BRASÍLIA - LAGO NORTE,64,2.0,1.0,2.0
427,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-sudoeste-brasilia-df-qmsw-5-1140627,378000.0,BRASÍLIA - SUDOESTE,27,1.0,,
428,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-110-1032919,1550000.0,BRASÍLIA - ASA NORTE,117,3.0,1.0,1.0
429,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-111-bloco-a-1137191,2450000.0,BRASÍLIA - NOROESTE,163,4.0,3.0,2.0
430,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-415-1142828,635000.0,BRASÍLIA - ASA SUL,44,2.0,,
431,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-101-1141197,1099000.0,BRASÍLIA - SUDOESTE,81,3.0,1.0,1.0
432,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-lago-norte-brasilia-df-ca-05-1131515,365000.0,BRASÍLIA - LAGO NORTE,33,1.0,,1.0
433,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-lago-norte-brasilia-df-ca-02-972066,350000.0,BRASÍLIA - LAGO NORTE,29,1.0,,1.0
434,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-lago-norte-brasilia-df-ca-09-1113857,295000.0,BRASÍLIA - LAGO NORTE,25,1.0,,1.0
435,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-303-1099623,3496000.0,BRASÍLIA - NOROESTE,201,4.0,4.0,4.0
436,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-park-sul-brasilia-df-sgcv-lote-1-1112411,1490000.0,BRASÍLIA - PARK SUL,134,2.0,1.0,2.0
